name,salary,year,team
Paul Millsap,"$19,000,000",2016,ATL
Al Horford,"$12,000,000",2016,ATL
Tiago Splitter,"$8,500,000",2016,ATL
Jeff Teague,"$8,000,000",2016,ATL
Kyle Korver,"$5,746,479",2016,ATL
Thabo Sefolosha,"$4,000,000",2016,ATL
Mike Scott,"$3,333,333",2016,ATL
Kirk Hinrich,"$2,870,000",2016,ATL
Kent Bazemore,"$2,000,000",2016,ATL
Dennis Schroder,"$1,763,400",2016,ATL
Tim Hardaway,"$1,304,520",2016,ATL
Walter Tavares,"$1,000,000",2016,ATL
Mike Muscala,"$947,276",2016,ATL
Lamar Patterson,"$525,093",2016,ATL
Kris Humphries,"$388,025",2016,ATL
Terran Petteway,"$75,000",2016,ATL
