name,salary,year,team
David Lee,"$15,493,680",2016,BOS
Amir Johnson,"$12,000,000",2016,BOS
Avery Bradley,"$7,730,337",2016,BOS
Isaiah Thomas,"$6,912,869",2016,BOS
Jae Crowder,"$6,000,000",2016,BOS
Jonas Jerebko,"$5,000,000",2016,BOS
Marcus Smart,"$3,431,040",2016,BOS
Evan Turner,"$3,425,510",2016,BOS
Tyler Zeller,"$2,616,975",2016,BOS
Jared Sullinger,"$2,269,260",2016,BOS
Kelly Olynyk,"$2,165,160",2016,BOS
Zoran Dragic,"$2,050,397",2016,BOS
Perry Jones,"$2,038,206",2016,BOS
Terry Rozier,"$1,824,360",2016,BOS
James Young,"$1,749,840",2016,BOS
Jordan Mickey,"$1,200,000",2016,BOS
R.J. Hunter,"$1,148,640",2016,BOS
Coty Clarke,"$61,776",2016,BOS
Corey Walden,"$25,000",2016,BOS
Malcolm Miller,"$25,000",2016,BOS
Levi Randolph,"$25,000",2016,BOS
John Holland,"$9,266",2016,BOS
