name,salary,year,team
Dikembe Mutombo,"$14,989,285",2005,BRK
Jason Kidd,"$14,796,000",2005,BRK
Vince Carter,"$12,584,688",2005,BRK
Richard Jefferson,"$2,266,794",2005,BRK
Jason Collins,"$1,887,864",2005,BRK
Ron Mercer,"$1,600,000",2005,BRK
Zoran Planinic,"$1,053,720",2005,BRK
Travis Best,"$1,000,000",2005,BRK
Nenad Krstic,"$939,480",2005,BRK
Jacque Vaughn,"$932,546",2005,BRK
Brian Scalabrine,"$900,000",2005,BRK
Rodney Buford,"$745,046",2005,BRK
Jabari Smith,"$720,046",2005,BRK
Kaniel Dickens,"$483,938",2005,BRK
Awvee Storey,"$84,573",2005,BRK
