name,salary,year,team
Tim Thomas,"$13,975,000",2006,CHI
Tyson Chandler,"$9,000,000",2006,CHI
Eddie Robinson,"$5,444,444",2006,CHI
Ben Gordon,"$3,610,200",2006,CHI
Othella Harrington,"$3,500,000",2006,CHI
Eric Piatkowski,"$3,000,000",2006,CHI
Chris Duhon,"$2,800,000",2006,CHI
Andres Nocioni,"$2,775,000",2006,CHI
Kirk Hinrich,"$2,513,880",2006,CHI
Luol Deng,"$2,443,920",2006,CHI
Darius Songaila,"$2,200,000",2006,CHI
Mike Sweetney,"$2,116,920",2006,CHI
Malik Allen,"$1,670,000",2006,CHI
Jannero Pargo,"$895,248",2006,CHI
Jermaine Jackson,"$771,123",2006,CHI
Eddie Basden,"$398,762",2006,CHI
Randy Holcomb,"$52,033",2006,CHI
