name,salary,year,team
Jason Richardson,"$11,111,110",2008,CHO
Gerald Wallace,"$9,500,000",2008,CHO
Nazr Mohammed,"$5,632,200",2008,CHO
Matt Carroll,"$5,450,000",2008,CHO
Emeka Okafor,"$5,427,307",2008,CHO
Adam Morrison,"$3,887,880",2008,CHO
Raymond Felton,"$3,274,440",2008,CHO
Othella Harrington,"$2,376,000",2008,CHO
Sean May,"$1,862,160",2008,CHO
Derek Anderson,"$1,219,590",2008,CHO
Jeff McInnis,"$1,219,590",2008,CHO
Jared Dudley,"$1,137,000",2008,CHO
Ryan Hollins,"$687,456",2008,CHO
Earl Boykins,"$533,572",2008,CHO
Jermareo Davidson,"$427,163",2008,CHO
