name,salary,year,team
Shaquille O'Neal,"$20,000,000",2010,CLE
LeBron James,"$15,779,912",2010,CLE
Antawn Jamison,"$11,641,095",2010,CLE
Mo Williams,"$8,860,000",2010,CLE
Anderson Varejao,"$6,300,000",2010,CLE
Delonte West,"$4,254,250",2010,CLE
Daniel Gibson,"$4,088,500",2010,CLE
Jamario Moon,"$2,750,000",2010,CLE
Anthony Parker,"$2,644,230",2010,CLE
Sebastian Telfair,"$2,500,000",2010,CLE
J.J. Hickson,"$1,429,200",2010,CLE
Leon Powe,"$855,189",2010,CLE
Darnell Jackson,"$736,420",2010,CLE
Jawad Williams,"$736,420",2010,CLE
Danny Green,"$457,588",2010,CLE
Coby Karl,"$311,896",2010,CLE
Cedric Jackson,"$53,834",2010,CLE
