name,salary,year,team
Dirk Nowitzki,"$20,907,128",2013,DAL
Shawn Marion,"$8,646,364",2013,DAL
Chris Kaman,"$8,000,000",2013,DAL
Brendan Haywood,"$6,299,000",2013,DAL
O.J. Mayo,"$4,020,000",2013,DAL
Anthony Morrow,"$4,000,000",2013,DAL
Vince Carter,"$3,090,000",2013,DAL
Darren Collison,"$2,319,344",2013,DAL
Rodrigue Beaubois,"$2,227,333",2013,DAL
Elton Brand,"$2,100,500",2013,DAL
Dominique Jones,"$1,276,560",2013,DAL
Jared Cunningham,"$1,156,320",2013,DAL
Delonte West,"$992,680",2013,DAL
Mike James,"$795,401",2013,DAL
Jae Crowder,"$600,491",2013,DAL
Bernard James,"$473,604",2013,DAL
Troy Murphy,"$214,758",2013,DAL
Derek Fisher,"$182,942",2013,DAL
Chris Douglas-Roberts,"$72,892",2013,DAL
Eddy Curry,"$23,852",2013,DAL
