name,salary,year,team
Allen Iverson,"$19,012,500",2008,DEN
Kenyon Martin,"$13,250,000",2008,DEN
Carmelo Anthony,"$13,041,250",2008,DEN
Marcus Camby,"$11,250,000",2008,DEN
Nene,"$8,840,000",2008,DEN
Eduardo Najera,"$4,952,380",2008,DEN
Steven Hunter,"$3,248,000",2008,DEN
Chucky Atkins,"$3,000,000",2008,DEN
J.R. Smith,"$2,134,067",2008,DEN
Anthony Carter,"$1,103,225",2008,DEN
Linas Kleiza,"$1,011,360",2008,DEN
Yakhouba Diawara,"$687,456",2008,DEN
Bobby Jones,"$687,456",2008,DEN
Taurean Green,"$427,163",2008,DEN
Mike Wilks,"$162,281",2008,DEN
Jelani McCoy,"$151,089",2008,DEN
