name,salary,year,team
Clifford Robinson,"$7,656,250",2002,DET
Jerry Stackhouse,"$5,843,750",2002,DET
Ben Wallace,"$4,700,000",2002,DET
Corliss Williamson,"$4,000,000",2002,DET
Zeljko Rebraca,"$3,500,000",2002,DET
Chucky Atkins,"$3,300,000",2002,DET
Jon Barry,"$3,175,000",2002,DET
Mikki Moore,"$2,531,250",2002,DET
Michael Curry,"$2,400,000",2002,DET
Rodney White,"$1,693,560",2002,DET
Dana Barros,"$1,600,000",2002,DET
Victor Alexander,"$653,350",2002,DET
Damon Jones,"$565,850",2002,DET
Brian Cardinal,"$465,850",2002,DET
Ratko Varda,"$332,817",2002,DET
