name,salary,year,team
Monta Ellis,"$11,000,000",2009,GSW
Andris Biedrins,"$9,000,000",2009,GSW
Jamal Crawford,"$8,640,000",2009,GSW
Corey Maggette,"$8,275,862",2009,GSW
Stephen Jackson,"$7,140,000",2009,GSW
Adonal Foyle,"$6,800,000",2009,GSW
Ronny Turiaf,"$4,500,000",2009,GSW
Kelenna Azubuike,"$2,900,000",2009,GSW
Brandan Wright,"$2,497,320",2009,GSW
Anthony Randolph,"$1,709,280",2009,GSW
Marco Belinelli,"$1,446,720",2009,GSW
Marcus Williams,"$1,262,520",2009,GSW
C.J. Watson,"$711,517",2009,GSW
Anthony Morrow,"$442,114",2009,GSW
Rob Kurz,"$429,111",2009,GSW
Jermareo Davidson,"$422,725",2009,GSW
DeMarcus Nelson,"$182,047",2009,GSW
Richard Hendrix,"$57,215",2009,GSW
