name,salary,year,team
Tracy McGrady,"$16,901,500",2007,HOU
Yao Ming,"$12,455,000",2007,HOU
Juwan Howard,"$6,392,100",2007,HOU
Shane Battier,"$5,393,300",2007,HOU
Rafer Alston,"$4,200,000",2007,HOU
Bob Sura,"$3,840,000",2007,HOU
Jake Tsakalidis,"$2,900,000",2007,HOU
Dikembe Mutombo,"$2,210,000",2007,HOU
Bonzi Wells,"$2,115,000",2007,HOU
Vassilis Spanoulis,"$1,800,000",2007,HOU
Kirk Snyder,"$1,537,440",2007,HOU
Luther Head,"$1,048,800",2007,HOU
Ryan Bowen,"$998,967",2007,HOU
John Lucas,"$700,000",2007,HOU
Chuck Hayes,"$664,209",2007,HOU
Steve Novak,"$600,000",2007,HOU
Kelenna Azubuike,"$50,000",2007,HOU
Casey Jacobsen,"$31,250",2007,HOU
