name,salary,year,team
Danny Granger,"$10,973,202",2011,IND
Mike Dunleavy,"$10,561,984",2011,IND
T.J. Ford,"$8,500,000",2011,IND
James Posey,"$7,148,800",2011,IND
Jeff Foster,"$6,655,000",2011,IND
Jamaal Tinsley,"$5,500,000",2011,IND
Dahntay Jones,"$2,500,000",2011,IND
Paul George,"$2,238,360",2011,IND
Brandon Rush,"$2,069,049",2011,IND
Tyler Hansbrough,"$1,998,600",2011,IND
Roy Hibbert,"$1,685,280",2011,IND
Solomon Jones,"$1,500,000",2011,IND
Darren Collison,"$1,361,040",2011,IND
Josh McRoberts,"$885,120",2011,IND
A.J. Price,"$762,195",2011,IND
Lance Stephenson,"$750,000",2011,IND
