name,salary,year,team
Elton Brand,"$10,960,000",2004,LAC
Corey Maggette,"$7,000,000",2004,LAC
Predrag Drobnjak,"$2,500,000",2004,LAC
Chris Kaman,"$2,394,600",2004,LAC
Keyon Dooling,"$2,256,444",2004,LAC
Wang Zhizhi,"$2,090,000",2004,LAC
Chris Wilcox,"$2,066,760",2004,LAC
Marko Jaric,"$1,925,000",2004,LAC
Quentin Richardson,"$1,805,735",2004,LAC
Melvin Ely,"$1,628,760",2004,LAC
Olden Polynice,"$1,070,000",2004,LAC
Glen Rice,"$1,070,000",2004,LAC
Eddie House,"$750,000",2004,LAC
Bobby Simmons,"$638,679",2004,LAC
Doug Overton,"$591,454",2004,LAC
Josh Moore,"$366,931",2004,LAC
