name,salary,year,team
Shaquille O'Neal,"$19,285,715",2001,LAL
Kobe Bryant,"$10,130,000",2001,LAL
Horace Grant,"$6,500,000",2001,LAL
Robert Horry,"$4,800,000",2001,LAL
Rick Fox,"$3,400,000",2001,LAL
Derek Fisher,"$3,380,000",2001,LAL
Brian Shaw,"$2,250,000",2001,LAL
Ron Harper,"$2,200,000",2001,LAL
Greg Foster,"$1,760,000",2001,LAL
Chuck Person,"$1,200,000",2001,LAL
Tyronn Lue,"$865,800",2001,LAL
Devean George,"$849,720",2001,LAL
Isaiah Rider,"$736,000",2001,LAL
Mark Madsen,"$707,040",2001,LAL
Stanislav Medvedenko,"$316,969",2001,LAL
Mike Penberthy,"$316,969",2001,LAL
Sam Jacobson,"$270,000",2001,LAL
