name,salary,year,team
Antoine Walker,"$8,854,475",2009,MEM
Darko Milicic,"$7,020,000",2009,MEM
Marko Jaric,"$6,575,000",2009,MEM
Greg Buckner,"$4,010,005",2009,MEM
O.J. Mayo,"$3,875,040",2009,MEM
Mike Conley,"$3,630,480",2009,MEM
Marc Gasol,"$3,093,333",2009,MEM
Steve Francis,"$2,636,550",2009,MEM
Rudy Gay,"$2,579,400",2009,MEM
Chris Mihm,"$2,500,000",2009,MEM
Damon Stoudamire,"$2,325,000",2009,MEM
Hakim Warrick,"$2,119,102",2009,MEM
Hamed Haddadi,"$1,572,221",2009,MEM
Adonal Foyle,"$1,262,275",2009,MEM
Mike Wilks,"$998,398",2009,MEM
Darrell Arthur,"$977,160",2009,MEM
Quinton Ross,"$854,957",2009,MEM
Darius Miles,"$704,752",2009,MEM
Shaun Livingston,"$370,000",2009,MEM
