name,salary,year,team
Chris Bosh,"$23,741,060",2017,MIA
Hassan Whiteside,"$22,116,750",2017,MIA
Goran Dragic,"$15,890,000",2017,MIA
Wayne Ellington,"$6,000,000",2017,MIA
Josh McRoberts,"$5,782,450",2017,MIA
Tyler Johnson,"$5,628,000",2017,MIA
Derrick Williams,"$4,598,000",2017,MIA
Udonis Haslem,"$4,000,000",2017,MIA
James Johnson,"$4,000,000",2017,MIA
Dion Waiters,"$2,898,000",2017,MIA
Justise Winslow,"$2,593,440",2017,MIA
Luke Babbitt,"$1,227,000",2017,MIA
Willie Reed,"$1,015,696",2017,MIA
Josh Richardson,"$874,636",2017,MIA
Rodney McGruder,"$543,471",2017,MIA
Okaro White,"$374,933",2017,MIA
Briante Weber,"$328,000",2017,MIA
Stefan Jankovic,"$100,000",2017,MIA
Keith Benson,"$75,000",2017,MIA
Marcus Georges-Hunt,"$31,969",2017,MIA
