name,salary,year,team
O.J. Mayo,"$8,000,000",2014,MIL
Ersan Ilyasova,"$7,900,000",2014,MIL
Zaza Pachulia,"$5,200,000",2014,MIL
Ekpe Udoh,"$4,469,548",2014,MIL
Luke Ridnour,"$4,320,000",2014,MIL
Gary Neal,"$3,250,000",2014,MIL
Carlos Delfino,"$3,250,000",2014,MIL
Larry Sanders,"$3,053,368",2014,MIL
Brandon Knight,"$2,793,960",2014,MIL
John Henson,"$1,905,360",2014,MIL
Giannis Antetokounmpo,"$1,792,560",2014,MIL
Viacheslav Kravtsov,"$1,500,000",2014,MIL
Ishmael Smith,"$951,463",2014,MIL
Khris Middleton,"$788,872",2014,MIL
