name,salary,year,team
Kevin Garnett,"$19,610,000",2001,MIN
Terrell Brandon,"$8,330,000",2001,MIN
Dean Garrett,"$2,880,000",2001,MIN
Anthony Peeler,"$2,740,000",2001,MIN
Sam Mitchell,"$2,370,000",2001,MIN
Chauncey Billups,"$2,250,000",2001,MIN
Wally Szczerbiak,"$2,162,280",2001,MIN
William Avery,"$1,286,160",2001,MIN
LaPhonso Ellis,"$1,200,000",2001,MIN
Tom Hammonds,"$1,130,000",2001,MIN
Rasho Nesterovic,"$1,123,560",2001,MIN
Todd Day,"$736,000",2001,MIN
Reggie Slater,"$673,500",2001,MIN
Sam Jacobson,"$498,500",2001,MIN
Andrae Patterson,"$498,500",2001,MIN
