name,salary,year,team
Peja Stojakovic,"$11,664,000",2008,NOP
David West,"$10,650,000",2008,NOP
Tyson Chandler,"$10,250,000",2008,NOP
Mike James,"$5,632,200",2008,NOP
Morris Peterson,"$5,356,000",2008,NOP
Chris Paul,"$3,615,960",2008,NOP
Rasual Butler,"$3,315,000",2008,NOP
Bonzi Wells,"$2,284,200",2008,NOP
Hilton Armstrong,"$1,900,200",2008,NOP
Jannero Pargo,"$1,830,000",2008,NOP
Julian Wright,"$1,739,160",2008,NOP
Bernard Robinson,"$1,080,000",2008,NOP
Ryan Bowen,"$1,033,930",2008,NOP
Melvin Ely,"$895,341",2008,NOP
Mile Ilic,"$864,000",2008,NOP
Arvydas Macijauskas,"$500,000",2008,NOP
