name,salary,year,team
Amar'e Stoudemire,"$19,948,799",2013,NYK
Carmelo Anthony,"$19,450,000",2013,NYK
Tyson Chandler,"$13,604,188",2013,NYK
Marcus Camby,"$4,590,338",2013,NYK
Steve Novak,"$4,054,055",2013,NYK
Raymond Felton,"$3,480,453",2013,NYK
Jason Kidd,"$3,090,000",2013,NYK
J.R. Smith,"$2,806,452",2013,NYK
Iman Shumpert,"$1,680,360",2013,NYK
Renaldo Balkman,"$1,675,000",2013,NYK
Rasheed Wallace,"$1,352,181",2013,NYK
James White,"$854,389",2013,NYK
Chris Copeland,"$473,604",2013,NYK
Pablo Prigioni,"$473,604",2013,NYK
Kenyon Martin,"$437,470",2013,NYK
