name,salary,year,team
Kevin Durant,"$16,669,630",2013,OKC
Russell Westbrook,"$13,668,750",2013,OKC
Kevin Martin,"$12,439,675",2013,OKC
Kendrick Perkins,"$7,800,531",2013,OKC
Thabo Sefolosha,"$3,600,000",2013,OKC
Nick Collison,"$2,929,332",2013,OKC
Serge Ibaka,"$2,253,062",2013,OKC
Jeremy Lamb,"$2,020,200",2013,OKC
Reggie Jackson,"$1,243,080",2013,OKC
Hasheem Thabeet,"$1,200,000",2013,OKC
Ronnie Brewer,"$1,069,509",2013,OKC
Perry Jones,"$1,035,960",2013,OKC
DeAndre Liggins,"$762,195",2013,OKC
Daniel Orton,"$757,712",2013,OKC
Derek Fisher,"$413,608",2013,OKC
