name,salary,year,team
Channing Frye,"$8,175,476",2015,ORL
Glen Davis,"$6,600,000",2015,ORL
Victor Oladipo,"$4,978,200",2015,ORL
Ben Gordon,"$4,500,000",2015,ORL
Aaron Gordon,"$3,992,040",2015,ORL
Al Harrington,"$3,805,000",2015,ORL
Nikola Vucevic,"$2,751,260",2015,ORL
Luke Ridnour,"$2,750,000",2015,ORL
Elfrid Payton,"$2,397,840",2015,ORL
Tobias Harris,"$2,380,594",2015,ORL
Maurice Harkless,"$1,887,840",2015,ORL
Anthony Randolph,"$1,825,359",2015,ORL
Andrew Nicholson,"$1,545,840",2015,ORL
Evan Fournier,"$1,483,920",2015,ORL
Willie Green,"$1,448,490",2015,ORL
Kyle O'Quinn,"$915,243",2015,ORL
Devyn Marble,"$884,879",2015,ORL
Dewayne Dedmon,"$816,482",2015,ORL
Peyton Siva,"$100,000",2015,ORL
Seth Curry,"$100,000",2015,ORL
