name,salary,year,team
Allen Iverson,"$10,130,000",2001,PHI
Theo Ratliff,"$7,800,000",2001,PHI
Matt Geiger,"$7,515,840",2001,PHI
Tyrone Hill,"$7,300,000",2001,PHI
Toni Kukoc,"$6,000,000",2001,PHI
Eric Snow,"$3,380,000",2001,PHI
George Lynch,"$2,200,000",2001,PHI
Aaron McKie,"$1,818,000",2001,PHI
Vernon Maxwell,"$1,000,000",2001,PHI
Speedy Claxton,"$936,000",2001,PHI
Nazr Mohammed,"$739,080",2001,PHI
Jumaine Jones,"$735,600",2001,PHI
Jermaine Jackson,"$423,500",2001,PHI
Todd MacCulloch,"$423,500",2001,PHI
Ademola Okulaja,"$316,969",2001,PHI
Pepe Sanchez,"$316,969",2001,PHI
Mark Karcher,"$50,000",2001,PHI
