name,salary,year,team
Amar'e Stoudemire,"$16,378,325",2010,PHO
Jason Richardson,"$13,333,333",2010,PHO
Steve Nash,"$13,125,000",2010,PHO
Leandro Barbosa,"$6,600,000",2010,PHO
Grant Hill,"$3,000,000",2010,PHO
Channing Frye,"$2,000,000",2010,PHO
Goran Dragic,"$1,836,000",2010,PHO
Earl Clark,"$1,766,280",2010,PHO
Robin Lopez,"$1,745,520",2010,PHO
Jared Dudley,"$1,307,640",2010,PHO
Sasha Pavlovic,"$1,250,000",2010,PHO
Jarron Collins,"$1,181,803",2010,PHO
Louis Amundson,"$855,189",2010,PHO
Taylor Griffin,"$457,588",2010,PHO
Jason Hart,"$451,866",2010,PHO
