name,salary,year,team
Brandon Roy,"$16,032,144",2012,POR
LaMarcus Aldridge,"$12,372,000",2012,POR
Marcus Camby,"$11,227,250",2012,POR
Gerald Wallace,"$9,500,000",2012,POR
Raymond Felton,"$7,560,000",2012,POR
Wesley Matthews,"$6,135,160",2012,POR
Jamal Crawford,"$5,000,000",2012,POR
Nicolas Batum,"$2,155,365",2012,POR
Luke Babbitt,"$1,768,800",2012,POR
Greg Oden,"$1,500,000",2012,POR
Elliot Williams,"$1,348,800",2012,POR
Nolan Smith,"$1,306,920",2012,POR
Joel Przybilla,"$1,145,027",2012,POR
Craig Smith,"$992,680",2012,POR
Chris Johnson,"$762,195",2012,POR
Armon Johnson,"$762,195",2012,POR
