name,salary,year,team
Rudy Gay,"$17,888,931",2014,SAC
Marcus Thornton,"$8,050,000",2014,SAC
John Salmons,"$7,583,000",2014,SAC
Carl Landry,"$6,500,000",2014,SAC
Chuck Hayes,"$5,722,500",2014,SAC
Jason Thompson,"$5,643,750",2014,SAC
DeMarcus Cousins,"$4,916,974",2014,SAC
Luc Mbah a Moute,"$4,588,384",2014,SAC
Aaron Brooks,"$3,396,250",2014,SAC
Patrick Patterson,"$3,105,302",2014,SAC
Travis Outlaw,"$3,000,000",2014,SAC
Ben McLemore,"$2,895,960",2014,SAC
Jimmer Fredette,"$2,439,840",2014,SAC
Greivis Vasquez,"$2,150,188",2014,SAC
Isaiah Thomas,"$884,293",2014,SAC
