name,salary,year,team
Tim Duncan,"$17,429,672",2007,SAS
Tony Parker,"$9,450,000",2007,SAS
Manu Ginobili,"$8,254,375",2007,SAS
Brent Barry,"$5,117,880",2007,SAS
Bruce Bowen,"$3,750,000",2007,SAS
Robert Horry,"$3,315,000",2007,SAS
Melvin Ely,"$3,303,813",2007,SAS
Francisco Elson,"$3,000,000",2007,SAS
Michael Finley,"$2,889,000",2007,SAS
Fabricio Oberto,"$2,500,000",2007,SAS
Jackie Butler,"$2,200,000",2007,SAS
Matt Bonner,"$2,000,000",2007,SAS
Jacque Vaughn,"$1,071,225",2007,SAS
Beno Udrih,"$967,920",2007,SAS
James White,"$405,435",2007,SAS
