name,salary,year,team
Chris Bosh,"$12,455,000",2008,TOR
T.J. Ford,"$8,000,000",2008,TOR
Rasho Nesterovic,"$7,840,000",2008,TOR
Jason Kapono,"$5,356,000",2008,TOR
Andrea Bargnani,"$4,838,880",2008,TOR
Alvin Williams,"$4,516,484",2008,TOR
Anthony Parker,"$4,350,000",2008,TOR
Jorge Garbajosa,"$4,000,000",2008,TOR
Primoz Brezec,"$2,750,000",2008,TOR
Kris Humphries,"$2,522,913",2008,TOR
Jose Calderon,"$2,471,604",2008,TOR
Carlos Delfino,"$1,868,141",2008,TOR
Maceo Baston,"$1,830,000",2008,TOR
Joey Graham,"$1,596,600",2008,TOR
Darrick Martin,"$1,219,590",2008,TOR
Jamario Moon,"$427,163",2008,TOR
