name,salary,year,team
Andrei Kirilenko,"$12,364,000",2007,UTA
Carlos Boozer,"$11,260,483",2007,UTA
Mehmet Okur,"$8,250,000",2007,UTA
Matt Harpring,"$6,500,000",2007,UTA
Derek Fisher,"$5,883,600",2007,UTA
Gordan Giricek,"$4,000,000",2007,UTA
Deron Williams,"$3,749,040",2007,UTA
Jarron Collins,"$2,625,698",2007,UTA
Rafael Araujo,"$2,395,200",2007,UTA
Ronnie Brewer,"$1,595,400",2007,UTA
Alan Henderson,"$1,178,348",2007,UTA
C.J. Miles,"$664,209",2007,UTA
Paul Millsap,"$625,000",2007,UTA
Dee Brown,"$412,718",2007,UTA
Brian Chase,"$412,718",2007,UTA
Roger Powell,"$412,718",2007,UTA
Louis Amundson,"$35,232",2007,UTA
