name,salary,year,team
Antawn Jamison,"$16,360,094",2008,WAS
Gilbert Arenas,"$11,950,400",2008,WAS
Caron Butler,"$8,218,990",2008,WAS
Etan Thomas,"$6,373,900",2008,WAS
Antonio Daniels,"$5,800,000",2008,WAS
Brendan Haywood,"$5,000,000",2008,WAS
Darius Songaila,"$3,942,000",2008,WAS
Andray Blatche,"$2,470,000",2008,WAS
Nick Young,"$1,491,240",2008,WAS
Oleksiy Pecherov,"$1,345,800",2008,WAS
DeShawn Stevenson,"$1,033,930",2008,WAS
Roger Mason,"$798,328",2008,WAS
Dominic McGuire,"$427,163",2008,WAS
Mike Wilks,"$67,151",2008,WAS
